// General information: 
//  MT Manager version: 2025.2.0 
//  XDA version: 2025.2.0 build 250509001 rev 1746715332 built on 2025-05-09
// Device information: 
//  DeviceId: 10B41B13
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 3.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
35970		-5.600949	2.675579	5.494478	0.901009	0.187498	0.217028	-0.325462
35971		-4.461758	3.699450	7.450109	0.901786	0.186463	0.213766	-0.326063
35972		-3.163357	4.211428	8.581725	0.902411	0.185598	0.211013	-0.326620
35973		-3.086233	3.829505	8.013185	0.903093	0.184622	0.208235	-0.327073
35974		-4.121237	3.757578	7.895737	0.903703	0.184043	0.205128	-0.327676
35975		-4.969218	4.466439	8.956546	0.904160	0.183713	0.202071	-0.328499
35976		-4.979506	5.021553	9.325155	0.904650	0.182691	0.199405	-0.329349
35977		-4.763935	4.627057	8.317823	0.905277	0.180718	0.196817	-0.330270
35978		-4.921456	3.924841	7.767887	0.905968	0.178069	0.194362	-0.331265
35979		-5.266087	3.218871	7.793434	0.906733	0.174883	0.191972	-0.332263
35980		-5.284348	2.531363	7.254157	0.907675	0.171052	0.189282	-0.333227
35981		-5.301140	2.012430	6.162815	0.908878	0.166372	0.185977	-0.334177
35982		-5.218833	2.108763	5.779903	0.910146	0.161416	0.182182	-0.335244
35983		-4.680516	2.667723	5.666035	0.911451	0.156109	0.178063	-0.336423
35984		-4.300943	2.820103	5.136306	0.912819	0.150334	0.173733	-0.337606
35985		-4.232185	2.438121	5.711186	0.914158	0.144537	0.169343	-0.338743
35986		-3.067352	2.957679	9.391469	0.915097	0.139794	0.165824	-0.339936
35987		-0.018817	3.401963	11.587670	0.915830	0.135073	0.163377	-0.341055
35988		1.643524	1.846735	10.115227	0.916438	0.130191	0.161347	-0.342284
35989		0.594810	1.779004	9.446803	0.916616	0.126780	0.158987	-0.344187
35990		-1.728235	3.164949	10.275794	0.916325	0.124316	0.157052	-0.346740
35991		-4.551353	2.700918	10.325505	0.915806	0.122102	0.155056	-0.349784
35992		-6.141527	0.403403	8.147187	0.915401	0.119027	0.152113	-0.353180
35993		-6.334748	-1.351996	6.926178	0.914923	0.116526	0.148341	-0.356837
35994		-5.834744	-2.171423	6.282550	0.914517	0.114409	0.143570	-0.360495
35995		-4.944561	-3.237328	5.320182	0.914354	0.111558	0.137834	-0.364024
35996		-4.180843	-3.467711	5.077743	0.914443	0.108511	0.131366	-0.367101
35997		-3.647792	-1.973258	6.448552	0.915002	0.104104	0.124923	-0.369225
35998		-3.091470	-1.370165	8.147877	0.915821	0.099931	0.118893	-0.370339
35999		-1.182446	1.744328	13.850412	0.916390	0.099499	0.113344	-0.370787
36000		2.669197	3.266298	15.896772	0.917330	0.096314	0.109590	-0.370431
36001		5.824332	-0.698874	12.526876	0.918315	0.091664	0.107250	-0.369855
36002		4.349361	-1.765568	12.708430	0.918458	0.091516	0.105649	-0.369998
36003		-0.016559	0.132593	14.945772	0.918026	0.092924	0.103623	-0.371290
36004		-2.942450	0.241625	13.497989	0.917606	0.092465	0.101888	-0.372918
36005		-4.928221	-1.128865	11.626355	0.917246	0.091662	0.099645	-0.374605
36006		-5.475734	-0.818464	10.597299	0.917131	0.090781	0.096600	-0.375896
36007		-4.638809	-0.318263	9.662479	0.917354	0.089009	0.093121	-0.376653
36008		-3.851027	-0.722974	7.855435	0.917871	0.086022	0.089774	-0.376901
36009		-4.034106	-0.986165	6.813576	0.918538	0.082658	0.086086	-0.376889
36010		-4.205800	-1.045522	6.003489	0.919257	0.078304	0.081860	-0.377006
36011		-3.515703	-1.327419	5.126651	0.919848	0.073000	0.077351	-0.377581
