// General information: 
//  MT Manager version: 2025.2.0 
//  XDA version: 2025.2.0 build 250509001 rev 1746715332 built on 2025-05-09
// Device information: 
//  DeviceId: 10B41B15
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 3.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
35970		6.899831	3.521507	2.558192	0.802845	0.080115	-0.587418	-0.062941
35971		9.640879	3.658763	2.588504	0.801051	0.079686	-0.589990	-0.062284
35972		11.152318	3.411282	2.827477	0.799827	0.079326	-0.591760	-0.061681
35973		11.178792	3.841787	3.458443	0.799385	0.078673	-0.592475	-0.061377
35974		10.553341	3.892090	2.882767	0.799642	0.077715	-0.592274	-0.061194
35975		10.682784	3.618746	2.526611	0.800421	0.076446	-0.591410	-0.060956
35976		10.386227	3.323579	1.981895	0.801566	0.074933	-0.590127	-0.060224
35977		9.557729	3.387049	2.048786	0.802720	0.073046	-0.588914	-0.059038
35978		8.512851	2.904761	1.586031	0.803748	0.070362	-0.587975	-0.057647
35979		7.318847	2.172460	1.248756	0.804153	0.067471	-0.587937	-0.055818
35980		6.448472	2.345218	1.721750	0.804018	0.064614	-0.588649	-0.053587
35981		5.017966	2.585889	1.645135	0.803411	0.061732	-0.590003	-0.051163
35982		5.199529	3.003468	2.424091	0.802460	0.058546	-0.591815	-0.048835
35983		5.246155	2.338884	2.324626	0.801694	0.054628	-0.593386	-0.046859
35984		5.003457	1.571566	1.821870	0.801015	0.050300	-0.594853	-0.044659
35985		5.303189	0.789789	-0.169113	0.800162	0.046190	-0.596546	-0.041713
35986		10.132160	2.043076	0.397365	0.798247	0.043507	-0.599554	-0.037995
35987		13.777431	2.548098	0.886041	0.796812	0.041831	-0.601782	-0.034630
35988		15.273887	3.755697	3.312867	0.796185	0.040615	-0.602836	-0.032088
35989		15.664571	4.554473	4.186550	0.797324	0.038343	-0.601518	-0.031293
35990		14.371182	4.084023	3.840612	0.800022	0.034042	-0.598147	-0.032027
35991		10.312075	1.643151	2.664675	0.803428	0.027626	-0.593817	-0.033472
35992		6.041538	-0.166796	1.007791	0.806110	0.020728	-0.590433	-0.033851
35993		3.462259	-0.609521	0.669345	0.807219	0.014309	-0.589143	-0.033226
35994		1.463896	-0.951139	1.304722	0.806901	0.008221	-0.589770	-0.031863
35995		0.771882	-2.379621	2.451442	0.805441	0.001644	-0.591871	-0.030833
35996		2.035997	-4.835699	3.503776	0.803358	-0.004961	-0.594739	-0.029610
35997		3.711283	-6.154355	2.484534	0.801485	-0.010638	-0.597280	-0.027673
35998		5.810403	-5.571471	1.030603	0.798904	-0.012718	-0.600863	-0.023558
35999		14.489891	-2.295811	2.786304	0.795778	-0.011686	-0.605156	-0.019676
36000		19.621273	-2.437126	3.858686	0.793813	-0.008106	-0.607893	-0.016171
36001		22.527627	0.865582	5.388118	0.793500	-0.003312	-0.608427	-0.012791
36002		21.866173	4.113712	6.385320	0.795551	-0.001544	-0.605759	-0.012370
36003		17.391211	1.234851	4.357547	0.799410	-0.004520	-0.600566	-0.015617
36004		12.071256	-2.705638	2.856096	0.803485	-0.010220	-0.594921	-0.019411
36005		8.678642	-4.021965	2.264945	0.806632	-0.015956	-0.590430	-0.021975
36006		6.878734	-4.106830	1.790248	0.808403	-0.020234	-0.587841	-0.022756
36007		5.823791	-3.213769	2.468436	0.808961	-0.022654	-0.587017	-0.021904
36008		5.147250	-2.074067	3.084500	0.808649	-0.024169	-0.587443	-0.020342
36009		4.352667	-1.391650	3.540816	0.807907	-0.025644	-0.588459	-0.018582
36010		3.734766	-0.742933	3.151441	0.806872	-0.027656	-0.589835	-0.016957
36011		3.550099	-0.468517	1.759200	0.805588	-0.030433	-0.591485	-0.015727
36012		6.386745	0.539503	2.035325	0.803409	-0.032779	-0.594345	-0.014631
36013		11.196430	0.498082	2.195445	0.801201	-0.034856	-0.597197	-0.014722
36014		15.763018	0.457597	2.692515	0.799413	-0.035141	-0.599559	-0.015240
36015		19.460017	1.080548	3.730837	0.798942	-0.034408	-0.600199	-0.016392
36016		19.929671	0.902459	3.290371	0.800696	-0.034038	-0.597828	-0.018153
36017		15.885555	0.676570	2.678459	0.804012	-0.034399	-0.593304	-0.019297
36018		11.335490	1.175555	2.440122	0.807595	-0.035735	-0.588316	-0.019946
36019		8.735561	1.217202	2.049312	0.810729	-0.037902	-0.583832	-0.020539
36020		6.900126	0.958903	2.061784	0.813340	-0.040776	-0.579970	-0.021226
36021		4.831888	0.198008	2.331204	0.815423	-0.044420	-0.576732	-0.022197
36022		2.756554	-0.445172	1.972606	0.816839	-0.048235	-0.574384	-0.023056
36023		1.265170	-0.900145	1.388854	0.817394	-0.051758	-0.573272	-0.023406
36024		1.551762	-0.060185	1.746595	0.816911	-0.054318	-0.573748	-0.022785
36025		3.323359	0.149633	1.853953	0.815876	-0.057288	-0.574956	-0.022134
36026		4.885038	-0.650636	1.511801	0.814778	-0.060737	-0.576185	-0.021421
36027		7.297569	-0.107679	1.982916	0.813401	-0.062966	-0.577952	-0.019616
36028		12.618830	1.218540	2.456085	0.811495	-0.064452	-0.580526	-0.017631
36029		18.691914	2.479734	3.289394	0.810154	-0.065584	-0.582314	-0.016116
